# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
dream-theater--pull-me-under|2814112|493|102.1|Pull Me Under
drist--arterial-black|11170529|195|147.1|Arterial Black
drist--decontrol|11170526|212|104.9|Decontrol
drowning-pool--bodies|80274568|201|130.8|Bodies
duffy--warwick-avenue|914258|226|84.5|Warwick Avenue
duran-duran--hungry-like-the-wolf|3130433|209|127.2|Hungry Like the Wolf
duran-duran--rio|4127462|337|141.1|Rio (2009 Remaster)
eagles--hotel-california|426703682|391|147.1|Hotel California (2013 Remaster)
eagles-of-death-metal--wannabe-in-la|389065851|372|160.9|Wannabe In L.A. (Live)
eddie-money--shakin|1079382|188|113.3|Shakin'
elbow--grounds-for-divorce|1088124|219|91.9|Grounds for Divorce
elliott-smith--la|2285243|194|173.7|L.A.
elton-john--saturday-nights-alright-for-fighting|75859746|294|152.6|Saturday Night’s Alright (For Fighting) (Remastered 2014)
eminem--berzerk|1853470017|238|0|Berzerk
eric-johnson--cliffs-of-dover|14600400|249|95|Cliffs Of Dover (Instrumental)
evanescence--bring-me-to-life|80274512|235|95|Bring Me To Life
everclear--santa-monica|3662453372|191|0|Santa Monica (Remastered 2025)
every-time-i-die--the-new-black|902833|172|149.8|The New Black
extreme--play-with-me|2515337|209|101.3|Play With Me
face-to-face--disconnected|3471397751|208|0|Disconnected
fall-out-boy--dance-dance|1138246|180|114.5|Dance, Dance
fall-out-boy--my-songs-know-what-you-did-in-the-dark-light-em-up|66404564|189|152|My Songs Know What You Did In The Dark (Light Em Up)
fall-out-boy--sugar-were-goin-down|1138247|232|0|Sugar, We're Goin Down
faster-pussycat--bathroom-wall|4085232|221|167.4|Bathroom Wall
filter--hey-man-nice-shot|1444372362|225|0|Hey Man Nice Shot (Nickel Bag)
filter--take-a-picture|1444388582|363|0|Take A Picture
finger-eleven--paralyzer|80275000|208|0|Paralyzer
five-finger-death-punch--hard-to-see|1071232332|209|112|Hard to See
fleetwood-mac--go-your-own-way|63480990|223|135.1|Go Your Own Way (2004 Remaster)
flyleaf--again|94359712|184|156|Again
foghat--slow-ride|2258092517|494|113|Slow Ride
foo-fighters--best-of-you|4311595|256|130.8|Best of You
foo-fighters--everlong|4762041|250|157.8|Everlong
foo-fighters--monkey-wrench|4311601|231|87|Monkey Wrench
foo-fighters--no-way-back|15422119|196|93.1|No Way Back
foo-fighters--stacked-actors|15479796|257|134.7|Stacked Actors
foreigner--double-vision|3659576|224|129.6|Double Vision
foreigner--feels-like-the-first-time|977932|232|107.7|Feels like the First Time (2008 Remaster)
fountains-of-wayne--stacys-mom|3090887|197|0|Stacy's Mom
franz-ferdinand--take-me-out|4315684|237|104.4|Take Me Out
freezepop--get-ready-2-rokk|81660996|179|189.7|Get Ready 2 Rokk
