# id | duração no LRCLIB (s) | letra (1 tem, 0 não achou, i instrumental). Gerado por tools/data/fetch-lrclib.mjs.
megadeth--sweating-bullets|304|1
megadeth--symphony-of-destruction|245|1
megadeth--this-day-we-fight|207|1
megasus--red-lottery|360|1
mercyful-fate--evil|285|1
metallica--all-nightmare-long|477|1
metallica--battery|445|1
metallica--broken-beat-and-scarred|385|1
metallica--creeping-death|399|1
metallica--cyanide|400|1
metallica--disposable-heroes|497|1
metallica--dyers-eve|313|1
metallica--enter-sandman|332|1
metallica--fade-to-black|418|1
metallica--fight-fire-with-fire|287|1
metallica--for-whom-the-bell-tolls|310|1
metallica--frantic|350|1
metallica--fuel|272|1
metallica--hit-the-lights|256|1
metallica--king-nothing|328|1
metallica--master-of-puppets|515|1
metallica--mercyful-fate|672|1
metallica--my-apocalypse|301|1
metallica--no-leaf-clover|343|1
metallica--nothing-else-matters|182|1
metallica--one|446|1
metallica--orion|508|i
metallica--sad-but-true|323|1
metallica--seek-and-destroy|415|1
metallica--the-memory-remains|279|1
metallica--the-shortest-straw|395|1
metallica--the-thing-that-should-not-be|396|1
metallica--the-unforgiven|386|1
metallica--trapped-under-ice|244|1
metallica--welcome-home-sanitarium|387|1
metallica--wherever-i-may-roam|406|1
metallica--whiplash|242|1
michael-jackson--beat-it|257|1
michael-schenker-group--armed-and-ready|249|1
modest-mouse--float-on|208|1
monkey-steals-the-peach--guitar-hero||0
motley-crue--looks-that-kill|247|1
motley-crue--shout-at-the-devil|194|1
motorhead--ace-of-spades|168|1
motorhead--overkill|311|1
mott-the-hoople--all-the-young-dudes|211|1
mountain--mississippi-queen|153|1
mumford-and-sons--i-will-wait|274|1
muse--assassin|211|1
muse--knights-of-cydonia|366|1
muse--plug-in-baby|224|1
muse--uprising|305|1
my-chemical-romance--dead|196|1
my-chemical-romance--im-not-okay-i-promise|189|1
my-morning-jacket--one-big-holiday|321|1
naast--mauvais-garcon|164|1
negramaro--nuvole-e-lenzuola|199|1
neil-young--rockin-in-the-free-world|284|1
nelly-furtado--turn-off-the-light|275|1
neon-trees--everybody-talks|177|1
nerd--rock-star|260|1
new-york-dolls--personality-crisis|220|1
nickelback--how-you-remind-me|224|1
night-ranger--you-can-still-rock-in-america|255|1
nine-inch-nails--wish|227|1
nirvana--about-a-girl|168|1
